Case 1095	12/10/2018	04:42:34 p.m.	Run 1
5	34,44	1,60	34,47	2,67
6	36,01	2,49	36,09	3,95
7	33,59	2,05	33,65	3,49
8	35,96	2,24	36,03	3,57
9	33,45	2,69	33,55	4,59
10	35,30	1,98	35,35	3,21
11	33,64	3,04	33,78	5,17
12	34,56	2,06	34,62	3,42
13	33,93	2,98	34,06	5,02
14	33,74	2,55	33,84	4,33
15	33,99	2,65	34,09	4,47
16	33,50	2,92	33,63	4,99
18	33,51	2,55	33,61	4,35
20	33,42	3,07	33,56	5,25
23	32,70	2,83	32,83	4,94
25	33,02	2,90	33,15	5,02
28	32,39	3,06	32,53	5,40
31	32,40	2,93	32,53	5,16
35	31,90	2,99	32,04	5,35
39	32,02	3,05	32,16	5,43
43	31,44	3,05	31,59	5,54
50	31,55	3,01	31,69	5,45
54	31,31	3,13	31,47	5,71
60	31,02	3,00	31,16	5,52
67	30,89	2,96	31,03	5,48
75	30,64	3,05	30,79	5,69
83	30,63	3,12	30,79	5,81
93	30,27	3,09	30,43	5,83
100	30,41	3,11	30,56	5,84
115	30,05	3,15	30,22	5,99
128	30,03	3,24	30,21	6,16
143	29,92	3,33	30,10	6,35
159	29,77	3,48	29,97	6,67
177	29,77	3,60	29,98	6,90
200	29,41	3,78	29,65	7,33
220	29,61	3,97	29,87	7,63
245	29,27	4,19	29,56	8,14
273	29,37	4,46	29,70	8,63
304	29,18	4,72	29,56	9,19
339	29,16	5,09	29,60	9,91
378	29,07	5,40	29,57	10,53
421	28,93	5,85	29,51	11,44
469	29,03	6,34	29,71	12,32
500	28,79	6,57	29,53	12,86
582	29,00	7,45	29,95	14,41
649	28,82	8,11	29,94	15,72
723	28,90	8,85	30,23	17,02
806	28,94	9,70	30,52	18,53
898	29,06	10,65	30,95	20,12
1000	29,23	11,69	31,48	21,80
