Case 1097	12/10/2018	04:42:52 p.m.	Run 1
5	35,27	2,15	35,33	3,49
6	34,34	1,89	34,39	3,15
7	35,78	2,33	35,86	3,73
8	33,60	2,36	33,69	4,01
9	35,66	2,14	35,72	3,44
10	33,48	2,90	33,60	4,95
11	35,00	1,93	35,06	3,16
12	33,68	3,15	33,83	5,34
13	34,19	2,22	34,26	3,72
14	33,94	2,90	34,06	4,89
15	33,54	2,70	33,65	4,61
16	33,86	2,59	33,96	4,38
18	33,36	2,99	33,49	5,11
20	33,19	2,71	33,30	4,66
23	33,18	2,94	33,31	5,06
25	32,55	2,97	32,69	5,22
28	32,63	2,83	32,75	4,95
31	32,18	3,06	32,32	5,43
35	32,08	3,01	32,22	5,37
39	31,58	2,98	31,72	5,40
43	31,80	3,09	31,95	5,54
50	31,25	3,14	31,41	5,73
54	31,24	2,97	31,38	5,43
60	31,12	3,01	31,26	5,52
67	30,82	3,06	30,97	5,66
75	30,67	3,03	30,82	5,63
83	30,41	3,05	30,56	5,73
93	30,57	3,10	30,72	5,79
100	30,20	3,11	30,36	5,88
115	30,20	3,21	30,37	6,07
128	29,99	3,31	30,17	6,29
143	29,89	3,35	30,08	6,39
159	29,72	3,49	29,92	6,70
177	29,61	3,61	29,83	6,95
200	29,63	3,81	29,87	7,34
220	29,35	3,95	29,61	7,67
245	29,50	4,22	29,80	8,15
273	29,22	4,42	29,55	8,60
304	29,20	4,72	29,58	9,18
339	29,11	5,03	29,54	9,80
378	29,04	5,46	29,55	10,64
421	29,06	5,84	29,65	11,36
469	28,84	6,27	29,52	12,27
500	29,06	6,65	29,81	12,90
582	28,79	7,41	29,73	14,44
649	28,97	8,14	30,09	15,69
723	28,85	8,86	30,18	17,07
806	28,98	9,73	30,57	18,56
898	29,09	10,67	30,99	20,14
1000	29,12	11,69	31,38	21,87
