Case 1114	12/10/2018	04:46:56 p.m.	Run 1
5	33,32	2,95	33,45	5,07
6	30,53	1,63	30,57	3,06
7	32,28	2,32	32,36	4,11
8	30,71	2,25	30,79	4,20
9	31,45	2,33	31,53	4,24
10	30,97	2,51	31,07	4,63
11	30,78	2,66	30,89	4,94
12	30,90	2,42	31,00	4,48
13	30,46	3,03	30,61	5,67
14	30,57	2,55	30,67	4,76
15	30,37	3,07	30,52	5,77
16	30,22	2,73	30,35	5,15
18	30,04	3,02	30,19	5,74
20	29,76	3,04	29,92	5,82
23	29,51	3,11	29,67	6,02
25	29,36	3,20	29,53	6,22
28	28,92	3,27	29,11	6,46
31	28,82	3,21	29,00	6,36
35	28,49	3,43	28,70	6,86
39	28,12	3,39	28,32	6,87
43	27,97	3,44	28,18	7,01
50	27,60	3,46	27,82	7,14
54	27,48	3,46	27,69	7,19
60	27,22	3,43	27,44	7,19
67	27,00	3,43	27,22	7,23
75	26,74	3,49	26,97	7,43
83	26,53	3,51	26,76	7,53
93	26,36	3,48	26,59	7,53
100	26,19	3,47	26,42	7,54
115	25,96	3,54	26,20	7,77
128	25,81	3,58	26,06	7,90
143	25,66	3,61	25,91	8,00
159	25,46	3,69	25,72	8,26
177	25,39	3,75	25,67	8,40
200	25,22	3,88	25,52	8,75
220	25,10	3,96	25,41	8,97
245	25,00	4,14	25,34	9,40
273	24,85	4,33	25,23	9,89
304	24,84	4,52	25,25	10,30
339	24,78	4,78	25,24	10,92
378	24,71	5,05	25,22	11,55
421	24,65	5,40	25,24	12,36
469	24,65	5,79	25,32	13,22
500	24,64	6,05	25,38	13,79
582	24,60	6,73	25,51	15,29
649	24,66	7,32	25,73	16,52
723	24,72	7,94	25,96	17,82
806	24,84	8,73	26,33	19,36
898	25,00	9,56	26,77	20,93
1000	25,24	10,45	27,32	22,49
