Case 1115	12/10/2018	04:47:05 p.m.	Run 1
5	30,42	0,93	30,43	1,75
6	32,78	2,43	32,87	4,23
7	30,59	2,02	30,65	3,78
8	32,01	2,24	32,09	4,00
9	30,65	2,52	30,76	4,70
10	31,29	2,32	31,38	4,24
11	30,59	2,71	30,71	5,06
12	30,75	2,57	30,85	4,79
13	30,58	2,68	30,70	5,01
14	30,37	2,94	30,51	5,53
15	30,29	2,60	30,40	4,91
16	30,21	3,11	30,37	5,88
18	29,87	2,79	30,00	5,33
20	29,83	3,13	30,00	5,99
23	29,30	3,11	29,46	6,07
25	29,25	3,14	29,42	6,12
28	28,96	3,25	29,14	6,41
31	28,70	3,28	28,88	6,52
35	28,39	3,30	28,58	6,63
39	28,17	3,44	28,38	6,97
43	27,90	3,44	28,11	7,04
50	27,61	3,42	27,82	7,06
54	27,39	3,47	27,60	7,22
60	27,18	3,45	27,40	7,23
67	26,95	3,40	27,16	7,19
75	26,71	3,44	26,93	7,34
83	26,52	3,49	26,75	7,51
93	26,34	3,51	26,58	7,59
100	26,17	3,48	26,40	7,57
115	25,90	3,50	26,14	7,70
128	25,78	3,55	26,02	7,84
143	25,58	3,57	25,83	7,95
159	25,47	3,68	25,73	8,22
177	25,34	3,73	25,62	8,38
200	25,16	3,87	25,45	8,75
220	25,06	3,96	25,37	8,97
245	24,99	4,13	25,33	9,37
273	24,88	4,30	25,25	9,81
304	24,74	4,50	25,15	10,30
339	24,71	4,77	25,17	10,93
378	24,67	5,07	25,18	11,61
421	24,64	5,39	25,22	12,35
469	24,56	5,79	25,23	13,27
500	24,60	6,03	25,32	13,78
582	24,61	6,73	25,51	15,31
649	24,61	7,31	25,67	16,55
723	24,67	7,93	25,91	17,81
806	24,80	8,70	26,28	19,33
898	25,01	9,54	26,77	20,88
1000	25,17	10,49	27,27	22,63
