Case 1098	12/10/2018	04:43:12 p.m.	Run 1
5	36,81	-10,72	38,34	-16,23
6	73,77	9,03	74,32	6,98
7	47,21	2,18	47,26	2,64
8	63,25	3,04	63,32	2,76
9	54,57	5,12	54,81	5,36
10	57,26	3,85	57,39	3,84
11	58,34	3,33	58,43	3,26
12	54,58	6,59	54,97	6,88
13	58,51	0,98	58,51	0,96
14	54,91	8,10	55,50	8,40
15	56,49	1,04	56,50	1,06
16	55,99	7,12	56,44	7,25
18	54,56	3,23	54,66	3,39
20	55,82	5,13	56,06	5,25
23	54,70	4,89	54,92	5,10
25	53,69	4,79	53,91	5,10
28	54,65	4,33	54,82	4,53
31	53,21	5,89	53,53	6,31
35	52,62	3,90	52,77	4,24
39	53,36	5,24	53,62	5,61
43	51,88	4,98	52,12	5,48
50	51,86	4,63	52,06	5,10
54	51,96	4,86	52,19	5,35
60	51,52	4,90	51,75	5,43
67	50,85	4,96	51,09	5,57
75	50,30	4,36	50,49	4,95
83	50,94	4,63	51,15	5,19
93	50,24	4,94	50,49	5,62
100	49,69	4,72	49,91	5,42
115	49,58	4,72	49,80	5,44
128	49,50	4,75	49,73	5,48
143	49,14	4,72	49,36	5,49
159	48,84	4,79	49,08	5,61
177	48,87	4,86	49,11	5,68
200	48,46	5,08	48,73	5,98
220	48,33	5,22	48,62	6,17
245	48,43	5,46	48,73	6,44
273	48,23	5,54	48,54	6,55
304	48,11	5,84	48,46	6,92
339	47,96	6,18	48,35	7,34
378	47,91	6,42	48,34	7,64
421	47,66	6,87	48,15	8,20
469	47,76	7,36	48,32	8,76
500	47,60	7,61	48,21	9,09
582	47,63	8,41	48,37	10,02
649	47,71	9,11	48,57	10,81
723	47,75	9,87	48,76	11,68
806	47,81	10,71	49,00	12,63
898	47,91	11,72	49,33	13,75
1000	48,33	12,84	50,00	14,88
