Case 1100	12/10/2018	04:43:32 p.m.	Run 1
5	39,70	-11,56	41,34	-16,23
6	74,08	9,18	74,65	7,07
7	43,17	1,33	43,19	1,76
8	68,89	2,78	68,95	2,31
9	49,62	6,13	50,00	7,05
10	61,56	1,46	61,58	1,36
11	54,92	6,29	55,27	6,53
12	57,29	3,53	57,40	3,53
13	57,29	3,79	57,41	3,79
14	55,54	6,43	55,91	6,61
15	56,77	1,46	56,79	1,47
16	55,91	7,87	56,46	8,01
18	54,49	2,05	54,53	2,16
20	56,58	6,08	56,91	6,13
23	53,21	4,60	53,41	4,94
25	55,06	4,57	55,25	4,75
28	54,10	5,01	54,33	5,29
31	53,35	5,23	53,60	5,60
35	52,84	4,13	53,00	4,47
39	53,58	5,43	53,86	5,79
43	51,45	4,95	51,68	5,50
50	52,02	4,26	52,19	4,68
54	51,84	5,16	52,10	5,68
60	51,05	4,80	51,28	5,38
67	51,12	4,66	51,33	5,21
75	50,68	4,55	50,88	5,13
83	50,79	4,70	51,01	5,29
93	50,06	4,99	50,30	5,70
100	49,84	4,69	50,06	5,38
115	49,40	4,54	49,61	5,25
128	49,35	4,55	49,56	5,27
143	49,32	4,63	49,54	5,36
159	49,17	4,74	49,40	5,51
177	48,93	4,79	49,16	5,60
200	48,49	4,99	48,75	5,87
220	48,62	5,18	48,90	6,08
245	48,30	5,43	48,60	6,41
273	48,18	5,57	48,51	6,60
304	48,13	5,80	48,48	6,87
339	48,03	6,20	48,43	7,36
378	48,01	6,42	48,43	7,61
421	47,86	6,88	48,35	8,18
469	47,83	7,31	48,38	8,69
500	47,62	7,57	48,21	9,03
582	47,74	8,39	48,47	9,97
649	47,66	8,98	48,50	10,67
723	47,66	9,81	48,66	11,63
806	47,95	10,68	49,13	12,55
898	48,07	11,64	49,46	13,61
1000	48,27	12,71	49,91	14,75
