Case 1096	12/10/2018	04:42:43 p.m.	Run 1
5	35,26	2,04	35,32	3,32
6	34,33	1,94	34,38	3,23
7	35,83	2,36	35,91	3,78
8	33,58	2,38	33,67	4,05
9	35,62	2,11	35,69	3,38
10	33,51	2,90	33,63	4,94
11	34,99	1,98	35,04	3,23
12	33,73	3,14	33,87	5,32
13	34,23	2,17	34,30	3,62
14	33,99	2,88	34,11	4,85
15	33,60	2,69	33,71	4,58
16	33,88	2,62	33,99	4,42
18	33,36	2,95	33,49	5,06
20	33,22	2,67	33,33	4,59
23	33,18	2,96	33,32	5,10
25	32,56	2,98	32,70	5,22
28	32,62	2,82	32,74	4,94
31	32,19	3,07	32,33	5,45
35	32,09	2,97	32,23	5,28
39	31,66	2,95	31,79	5,33
43	31,82	3,06	31,96	5,50
50	31,21	3,11	31,37	5,69
54	31,24	2,95	31,38	5,40
60	31,14	3,05	31,29	5,59
67	30,80	3,07	30,96	5,69
75	30,65	3,03	30,80	5,64
83	30,41	3,03	30,56	5,68
93	30,56	3,11	30,72	5,80
100	30,20	3,10	30,36	5,86
115	30,21	3,24	30,39	6,13
128	29,99	3,31	30,17	6,29
143	29,89	3,36	30,08	6,41
159	29,73	3,50	29,94	6,71
177	29,63	3,59	29,85	6,90
200	29,63	3,83	29,87	7,37
220	29,36	3,95	29,63	7,67
245	29,53	4,23	29,84	8,15
273	29,22	4,44	29,56	8,64
304	29,24	4,72	29,62	9,16
339	29,16	5,08	29,59	9,88
378	29,05	5,43	29,55	10,59
421	29,04	5,82	29,62	11,33
469	28,84	6,30	29,52	12,31
500	29,05	6,64	29,80	12,87
582	28,79	7,41	29,73	14,43
649	28,99	8,13	30,11	15,67
723	28,87	8,84	30,19	17,03
806	28,99	9,71	30,58	18,52
898	29,06	10,64	30,95	20,11
1000	29,12	11,69	31,38	21,87
