Case 1099	12/10/2018	04:43:23 p.m.	Run 1
5	55,10	-0,30	55,10	-0,31
6	55,78	0,95	55,79	0,98
7	61,86	4,33	62,01	4,01
8	50,03	4,00	50,19	4,57
9	64,87	1,89	64,90	1,67
10	50,48	7,39	51,02	8,33
11	61,79	0,16	61,79	0,15
12	53,68	7,81	54,24	8,28
13	57,75	1,48	57,77	1,47
14	56,06	6,08	56,39	6,19
15	56,12	4,00	56,26	4,07
16	56,14	3,71	56,26	3,78
18	55,97	6,04	56,30	6,16
20	53,85	3,27	53,95	3,48
23	56,27	5,20	56,51	5,28
25	52,72	5,02	52,96	5,44
28	54,68	4,04	54,82	4,22
31	53,20	5,55	53,49	5,96
35	52,93	4,64	53,14	5,00
39	52,74	4,74	52,95	5,13
43	52,82	4,96	53,06	5,37
50	51,52	5,45	51,81	6,04
54	51,56	4,26	51,74	4,73
60	51,78	4,89	52,01	5,39
67	50,65	5,10	50,91	5,75
75	50,51	4,56	50,72	5,16
83	50,47	4,63	50,68	5,25
93	50,37	4,69	50,59	5,32
100	50,11	4,80	50,34	5,47
115	49,84	4,95	50,09	5,67
128	49,19	4,96	49,44	5,76
143	49,13	4,91	49,38	5,71
159	48,86	4,94	49,11	5,77
177	48,69	5,02	48,95	5,89
200	48,76	5,27	49,04	6,17
220	48,61	5,33	48,90	6,26
245	48,49	5,45	48,80	6,41
273	48,03	5,59	48,36	6,64
304	48,19	6,02	48,57	7,12
339	47,87	6,24	48,27	7,42
378	47,74	6,63	48,20	7,90
421	47,79	7,01	48,30	8,34
469	47,80	7,45	48,37	8,86
500	47,66	7,80	48,29	9,29
582	47,62	8,66	48,41	10,31
649	47,76	9,35	48,67	11,07
723	47,53	10,00	48,57	11,89
806	47,71	10,99	48,96	12,97
898	47,96	12,02	49,44	14,07
1000	48,06	13,05	49,80	15,19
